,Date,Distance (km),Ascendant (m),Durée,Allure moy. (min/km),Vitesse moy. (km/h),Nom
0,2016-05-31 12:00:00,12.6,0,01:00:00,0,0,
1,2016-06-03 12:00:00,9.8,0,00:00:00,0,0,
2,2016-06-04 10:00:00,15.299999999999999,0,00:00:00,0,0,
3,2016-06-09 12:00:00,13.0,0,01:00:00,0,0,
4,2016-06-10 05:00:00,18.2,200,01:50:00,0,0,
5,2016-06-12 10:00:00,10.6,0,01:00:00,0,0,
6,2016-06-13 12:00:00,12.3,0,01:00:00,0,0,
7,2016-06-14 05:00:00,18.2,200,01:50:00,0,0,
8,2016-06-15 12:00:00,5.3,0,00:00:00,0,0,
9,2016-06-17 05:00:00,18.2,200,01:50:00,0,0,
10,2016-06-17 12:00:00,4.2,0,00:00:00,0,0,
11,2016-06-19 10:00:00,21.3,0,00:00:00,0,0,
12,2016-06-21 12:00:00,10.0,0,01:00:00,0,0,
13,2016-06-23 05:00:00,18.3,200,01:50:00,0,0,
14,2016-06-24 12:00:00,6.7,0,00:00:00,0,0,
15,2016-06-26 10:00:00,16.9,0,00:00:00,0,0,
16,2016-06-28 05:00:00,14.1,0,00:00:00,0,0,
17,2016-06-28 18:00:00,13.6,0,01:00:00,0,0,
18,2016-06-29 05:00:00,1.29,0,00:00:00,0,0,
19,2016-06-29 12:00:00,1.29,0,00:00:00,0,0,
20,2016-06-29 18:00:00,11.0,0,01:00:00,0,0,
21,2016-06-30 05:00:00,18.2,200,01:50:00,0,0,
22,2016-06-30 12:00:00,6.7,0,00:00:00,0,0,
23,2016-07-01 12:00:00,12.0,0,01:00:00,0,0,
24,2016-07-04 12:00:00,12.0,0,01:00:00,0,0,
25,2016-07-05 05:00:00,18.0,0,00:00:00,0,0,
26,2016-07-07 12:00:00,12.0,0,01:00:00,0,0,
27,2016-07-08 05:00:00,24.0,400,02:50:00,0,0,
28,2016-07-08 18:00:00,13.0,0,01:00:00,0,0,
29,2016-07-09 10:00:00,19.0,400,02:15:00,0,0,
30,2016-07-11 12:00:00,10.0,0,01:00:00,0,0,
31,2016-07-12 05:00:00,18.0,0,00:00:00,0,0,
32,2016-07-13 12:00:00,10.0,0,01:00:00,0,0,
33,2016-07-18 12:00:00,10.0,0,01:00:00,0,0,
34,2016-07-19 05:00:00,24.0,400,02:50:00,0,0,
35,2016-07-20 12:00:00,10.0,0,01:00:00,0,0,
36,2016-07-22 05:00:00,18.0,0,00:00:00,0,0,
37,2016-07-22 12:00:00,10.0,0,01:00:00,0,0,
38,2016-07-25 12:00:00,10.0,0,01:00:00,0,0,
39,2016-07-27 12:00:00,10.0,0,01:00:00,0,0,
40,2016-07-29 18:00:00,21.12,550,03:15:00,0,0,
41,2016-07-30 10:00:00,69.0,2200,10:00:00,0,0,
42,2016-07-31 10:00:00,21.12,550,03:15:00,0,0,
43,2016-08-03 12:00:00,10.0,0,01:00:00,0,0,
44,2016-08-05 05:00:00,18.0,0,00:00:00,0,0,
45,2016-08-07 10:00:00,19.0,400,02:15:00,0,0,
46,2016-08-08 12:00:00,10.0,0,01:00:00,0,0,
47,2016-08-09 05:00:00,24.0,400,02:50:00,0,0,
48,2016-08-09 18:00:00,18.0,0,00:00:00,0,0,
49,2016-08-10 12:00:00,10.0,0,01:00:00,0,0,
50,2016-08-14 10:00:00,10.0,0,01:00:00,0,0,
51,2016-08-16 12:00:00,10.0,0,01:00:00,0,0,
52,2016-08-18 12:00:00,5.0,0,00:00:00,0,0,
53,2016-08-20 10:00:00,95.0,5200,20:00:00,0,0,
54,2016-08-23 12:00:00,15.0,0,00:00:00,0,0,
55,2016-08-25 12:00:00,15.0,0,00:00:00,0,0,
56,2016-08-30 05:00:00,24.0,400,02:50:00,0,0,
57,2016-08-30 18:00:00,18.0,0,00:00:00,0,0,
58,2016-09-01 12:00:00,10.0,0,01:00:00,0,0,
59,2016-09-06 05:00:00,18.0,0,00:00:00,0,0,
60,2016-09-07 12:00:00,10.0,0,01:00:00,0,0,
61,2016-09-09 12:00:00,5.0,0,00:00:00,0,0,
