Date	Distance (km)	Ascendant (m)	Durée	Allure moy. (min/km)	Vitesse moy. (km/h)	Calories
02/06/2015 12:03	5.17	37.2	0:31:20	6:03	9.9	423
04/06/2015 11:57	9.41	127.2	0:57:07	6:04	9.9	763
07/06/2015 06:08	19.19	471.6	2:09:37	6:45	8.9	1 513
07/06/2015 11:18	4.64	263.3	1:36:51	20:51	2.9	296
09/06/2015 05:07	18.36	309.1	2:00:26	6:34	9.1	1 501
09/06/2015 12:05	5.56	17.0	0:32:31	5:51	10.3	442
11/06/2015 05:05	18.37	228.8	1:54:06	6:13	9.7	1 492
12/06/2015 11:58	12.38	26.1	1:05:55	5:19	11.3	1 009
14/06/2015 09:39	12.95	63.9	1:05:52	5:05	11.8	1 064
16/06/2015 05:05	18.24	236.7	1:55:37	6:20	9.5	1 479
17/06/2015 11:57	9.41	127.2	0:57:07	6:04	9.9	763
20/06/2015 04:05	87.00	4 450.0	16:10:00	11:09	5.4	6 000
22/06/2015 12:41	5.50	30.5	0:33:47	6:08	9.8	452
24/06/2015 11:54	11.99	50.0	1:04:07	5:21	11.2	983
26/06/2015 11:40	1.72	31.4	0:10:57	6:22	9.4	141
26/06/2015 12:04	1.34	16.3	0:28:00	20:55	2.9	97
26/06/2015 12:36	0.29	2.8	0:05:39	19:45	3.0	20
28/06/2015 08:43	10.89	65.0	1:06:25	6:06	9.8	835
29/06/2015 12:41	9.99	83.2	0:50:17	5:02	11.9	825
02/07/2015 11:40	14.43	114.0	1:22:33	5:43	10.5	1 190
03/07/2015 05:05	18.28	275.6	1:58:05	6:28	9.3	1 469
05/07/2015 17:32	11.45	69.5	1:00:17	5:16	11.4	937
06/07/2015 12:17	9.86	199.3	0:58:51	5:58	10.1	773
08/07/2015 06:52	19.42	477.9	2:08:43	6:38	9.1	1 555
08/07/2015 17:56	12.07	34.0	0:59:26	4:55	12.2	980
10/07/2015 08:56	25.13	77.8	2:03:25	4:55	12.2	2 053
12/07/2015 15:00	10.09	9.0	0:57:33	5:42	10.5	817
14/07/2015 17:22	11.99	53.6	0:59:23	4:57	12.1	982
15/07/2015 05:09	18.34	261.7	1:51:51	6:06	9.8	1 490
15/07/2015 16:41	18.18	240.0	1:47:40	5:55	10.1	1 472
17/07/2015 05:10	18.43	285.6	1:54:06	6:11	9.7	1 500
18/07/2015 05:59	19.26	518.8	2:11:19	6:49	8.8	1 514
20/07/2015 16:41	18.27	182.5	1:47:52	5:54	10.2	1 487
21/07/2015 05:11	18.49	313.4	1:54:28	6:12	9.7	1 495
21/07/2015 11:47	11.27	41.3	1:02:39	5:34	10.8	922
22/07/2015 05:07	18.35	266.2	1:56:05	6:20	9.5	1 482
22/07/2015 12:02	12.00	116.8	1:05:30	5:27	11.0	984
26/07/2015 10:03	5.31	229.1	1:46:47	20:06	3.0	297
26/07/2015 18:10	8.88	221.1	1:00:59	6:52	8.7	669
28/07/2015 10:33	6.85	162.1	1:34:03	13:44	4.4	459
28/07/2015 15:41	6.28	144.0	0:47:29	7:34	7.9	465
30/07/2015 17:47	2.98	166.6	1:09:25	23:19	2.6	179
31/07/2015 10:30	3.30	0.0	1:30:00	27:16	2.2	0
31/07/2015 17:03	0.94	4.1	0:07:59	8:27	7.1	55
01/08/2015 14:14	7.02	223.3	2:23:54	20:30	2.9	426
04/08/2015 17:06	4.72	255.6	2:05:39	26:38	2.3	277
05/08/2015 11:10	5.18	51.5	1:18:53	15:14	3.9	357
Total	599.17	11 632.2	77:00:35	7:43	7.8	46 384
